request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_193,0.0,not_affordable,not_recommended,none,2024-05-18,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_194,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_195,995.34,not_affordable,not_recommended,none,2026-01-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_197,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_199,22923801.87,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_203,871.27,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_204,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_206,1404.7,not_affordable,not_recommended,none,2025-08-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_207,5400.55,affordable_later,wait,2026-07-15:11830,2026-07-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_208,2372078.69,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_209,1385.25,not_affordable,not_recommended,none,2026-01-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_210,1100.68,affordable_with_plan,partial_payment,2026-04-06:1100.68|2026-04-14:259.34,2026-04-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_211,170.13,affordable_later,wait,2024-10-14:1788.6,2024-10-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_212,6292600.93,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_213,3362.4,not_affordable,not_recommended,none,2026-01-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_214,65411.69,affordable_with_plan,partial_payment,2024-12-04:65411.69|2024-12-16:4338.31,2024-12-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_215,29986.0,not_affordable,not_recommended,none,2025-05-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_216,570.73,affordable_later,wait,2026-08-14:3332.4,2026-08-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_217,16805.4,not_affordable,not_recommended,none,2024-03-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_218,26452497.25,not_affordable,not_recommended,none,2025-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_219,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_220,121.4,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_224,10327000.0,not_affordable,not_recommended,none,2025-02-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_225,8422599.48,not_affordable,not_recommended,none,2026-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_227,11039.82,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_228,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_229,359.51,not_affordable,not_recommended,none,2024-05-18,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_231,34484.44,not_affordable,not_recommended,none,2026-01-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_232,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_233,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_234,266.0,affordable_later,wait,2026-08-14:1213.3,2026-08-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
